,vocab_size,token_count,unique_tokens,bytes_per_token,tokens_per_count,decode_correct
0,1000,6061,677,2.064180828246164,0.48445368076093037,True
1,5000,4497,1203,2.782076940182344,0.35944368955319317,True
2,10000,4054,1289,3.0860878145041934,0.3240348493325873,True
3,15000,3842,1303,3.256376887038001,0.30708976101031094,True
4,20000,3642,1297,3.4352004393190554,0.2911038286308049,True
5,25000,3567,1286,3.5074292122231565,0.28510910398849015,True
6,30000,3496,1271,3.578661327231121,0.2794340979937655,True
7,45000,3310,1234,3.7797583081570996,0.26456718088082487,True
8,50000,3292,1237,3.8004252733900366,0.2631284469666693,True
9,50257,3290,1237,3.8027355623100303,0.2629685876428743,True
