,vocab_size,token_count,unique_tokens,bytes_per_token,tokens_per_count,decode_correct
0,1000,5941,684,2.1058744319138194,0.47486212133322675,True
1,5000,4366,1252,2.8655519926706368,0.3489729038446167,True
2,10000,3820,1354,3.275130890052356,0.30533130844856526,True
3,15000,3586,1376,3.488845510317903,0.2866277675645432,True
4,20000,3411,1365,3.6678393433010847,0.2726400767324754,True
5,25000,3297,1357,3.794661813770094,0.263528095276157,True
6,30000,3220,1340,3.8854037267080743,0.25737351131004715,True
7,45000,3037,1310,4.119525847876194,0.24274638318279915,True
8,50000,2977,1305,4.202552905609674,0.23795060346894734,True
9,50257,2977,1305,4.202552905609674,0.23795060346894734,True
