,vocab_size,token_count,unique_tokens,bytes_per_token,tokens_per_count,decode_correct
0,1000,5973,675,2.094592332161393,0.47741987051394774,True
1,5000,4380,1240,2.856392694063927,0.35009191911118215,True
2,10000,3892,1348,3.2145426515930113,0.3110862441051874,True
3,15000,3560,1378,3.5143258426966293,0.28454959635520743,True
4,20000,3421,1362,3.6571178018123356,0.27343937335145074,True
5,25000,3312,1351,3.777475845410628,0.26472704020461996,True
6,30000,3235,1340,3.867387944358578,0.2585724562385101,True
7,45000,3014,1322,4.150962176509622,0.24090800095915593,True
8,50000,2982,1315,4.1955063715627094,0.23835025177843497,True
9,50257,2980,1315,4.198322147651007,0.2381903924546399,True
